,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,restimulus
459379,1.469693845669907,1.378404875209022,1.4142135623730951,1.2922847983320085,1.2884098726725126,1.307669683062202,1.2806248474865698,1.5652475842498528,1.6852299546352716,1.5716233645501712,1.4352700094407325,1.42828568570857,1.2922847983320085,1.3038404810405295,1.3490737563232045,1.797220075561143,0
335126,4.949747468305833,9.379232377972093,2.0518284528683197,1.6792855623746663,1.61245154965971,1.452583904633395,3.207802986469088,2.6870057685088806,4.33589667773576,2.3086792761230392,1.5842979517754858,1.6,1.3674794331177345,2.2715633383201093,1.857417562100671,3.046309242345563,0
706716,8.131420540102448,2.080865204668481,1.6941074346097416,1.7262676501632068,2.142428528562855,1.5652475842498528,2.213594362117865,11.554220008291344,2.233830790368868,1.8138357147217052,1.797220075561143,1.5427248620541512,1.378404875209022,1.32664991614216,1.7635192088548397,4.039801975344831,0
158124,5.866003750424985,2.130727575266252,1.9621416870348585,1.664331697709324,1.3856406460551018,1.2529964086141667,1.6792855623746663,7.754998388136518,1.3564659966250536,1.5231546211727816,1.493318452306808,1.5842979517754858,1.3152946437965904,1.4142135623730951,1.8303005217723127,2.817800560721074,0
389646,8.634234187233979,10.457055034760025,2.7386127875258306,1.8841443681416767,1.9849433241279208,2.8478061731796283,3.6193922141707713,5.794825277780168,10.698598038995575,3.9102429592034302,1.6401219466856725,1.7578395831246945,1.5524174696260025,1.7748239349298849,2.233830790368868,8.58545281275251,0
483193,1.6309506430300091,2.1,1.3820274961085253,1.3416407864998738,1.2165525060596438,1.3341664064126333,1.2328828005937953,1.3638181696985856,1.8384776310850235,1.835755975068582,1.4730919862656235,1.284523257866513,1.307669683062202,1.3228756555322954,1.3304134695650072,1.8439088914585773,0
437064,3.286335345030997,5.2839379254491625,1.7549928774784245,1.3490737563232045,1.4106735979665883,1.2165525060596438,1.1789826122551597,2.0615528128088303,7.563068160475615,3.0724582991474434,1.5231546211727816,1.445683229480096,1.4106735979665883,1.4966629547095769,1.96468827043885,3.0886890422961,0
236107,5.5533773507659285,2.7748873851023217,1.7262676501632068,1.3453624047073711,1.3638181696985856,1.2328828005937953,1.3564659966250536,1.7146428199482249,4.184495190581536,1.8303005217723127,1.6703293088490063,1.4832396974191326,1.4212670403551897,1.284523257866513,1.4966629547095769,4.5902069670114,0
514574,2.6095976701399777,1.51657508881031,1.5427248620541512,1.2922847983320085,1.2884098726725126,1.4422205101855958,2.211334438749598,1.8520259177452132,1.8110770276274832,1.5198684153570663,1.3711309200802089,1.3341664064126333,1.3638181696985856,2.1354156504062622,3.260368077380221,3.1016124838541645,0
691848,6.486139067272609,2.01246117974981,1.697056274847714,1.5264337522473748,1.7578395831246945,1.5329709716755893,1.992485884517128,7.911384202527394,3.9293765408777,1.969771560359221,1.7549928774784245,1.466287829861518,1.3820274961085253,1.3892443989449803,1.972308292331602,5.440588203494177,0
