,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,restimulus
657687,9.721625378505388,12.799609369039354,4.159326868617084,2.177154105707724,2.313006701244076,2.23159136044214,4.604345773288535,8.151073548925932,7.286974680894672,4.734976240700686,1.7888543819998317,1.6031219541881396,2.004993765576342,4.342810150121693,3.3166247903554,3.241913015489465,0
502005,3.163858403911275,1.6941074346097416,1.469693845669907,1.2124355652982142,1.3416407864998738,1.2922847983320085,2.6851443164195103,2.009975124224178,2.184032966784156,1.6340134638368191,1.6431676725154984,1.5362291495737217,1.3228756555322954,2.179449471770337,3.057776970284131,4.990991885387112,0
500335,4.830113870293329,1.7088007490635062,1.4247806848775006,1.2884098726725126,1.3601470508735445,1.3564659966250536,2.986636904613616,2.879236009777593,2.345207879911715,1.7776388834631178,1.4387494569938155,1.40356688476182,1.3490737563232045,1.7916472867168918,2.6795522013948525,5.271622141238881,0
126205,2.3937418407171647,14.985326155943351,3.7242448899072143,1.7378147196982767,1.2,1.972308292331602,1.2767145334803705,1.3453624047073711,1.9261360284258224,4.585847795119241,5.848931526355904,1.8110770276274832,1.4387494569938155,1.374772708486752,1.3711309200802089,1.396424004376894,0
684314,6.424173098539609,2.9427877939124323,1.7776388834631178,1.6401219466856725,2.0371548787463363,2.0591260281974,3.569313659514949,7.29863000843309,4.244997055358225,2.1977260975835917,1.4832396974191326,1.5968719422671311,1.5524174696260025,5.99749947894954,1.9595917942265424,5.134199061197374,0
369994,5.994163828258284,9.475230867899738,2.39165214862028,1.794435844492636,1.7691806012954132,2.5219040425836985,2.65329983228432,3.315116890850155,7.063285354564121,3.154362059117501,1.752141546793523,1.51657508881031,1.6492422502470645,1.6278820596099706,1.7146428199482249,2.756809750418044,0
713738,8.26559132790873,1.94164878389476,1.6,1.5524174696260025,1.6852299546352716,1.4730919862656235,1.9748417658131496,12.039102956615997,1.5459624833740306,1.6941074346097416,1.5874507866387544,1.5066519173319364,1.42828568570857,1.3228756555322954,1.711724276862369,3.0099833886584824,0
57911,2.4738633753705965,1.469693845669907,1.3527749258468684,1.19582607431014,1.2922847983320085,2.5019992006393608,4.5793012567421245,4.456455991031438,1.833030277982336,1.42828568570857,1.3,1.4387494569938155,1.688194301613413,3.061045573002793,3.754996671103717,5.803447251418763,0
667453,3.849675310984032,1.849324200890693,1.697056274847714,1.466287829861518,1.6431676725154984,1.3228756555322954,1.61245154965971,6.03075451332584,1.82208671582886,1.7146428199482249,1.5,1.4594519519326423,1.2409673645990855,1.3379088160259651,1.469693845669907,2.714774392099645,0
162707,2.39165214862028,1.8601075237738276,1.4966629547095769,1.3564659966250536,1.2569805089976536,1.1874342087037917,1.3416407864998738,5.75065213693195,1.5588457268119895,1.5874507866387544,1.3820274961085253,1.452583904633395,1.2884098726725126,1.396424004376894,1.7262676501632068,2.8337254630609507,0
223566,17.55704986607944,4.502221673796171,3.241913015489465,2.209072203437452,2.08806130178211,1.8681541692269408,2.8583211855912904,9.794896630388704,3.87556447501522,4.483302354291979,3.73496987939662,2.147091055358389,1.7776388834631178,1.4106735979665883,3.1016124838541645,6.202418882984283,0
556810,2.1166010488516727,2.414539293529927,1.8841443681416767,2.1166010488516727,1.5620499351813308,1.493318452306808,1.3674794331177345,3.4713109915419564,3.2619012860600183,5.004997502496879,2.483948469674844,1.624807680927192,1.489966442575134,1.489966442575134,2.1142374511865976,5.138093031466052,0
211458,9.486305919587457,2.624880949681337,2.1095023109728985,1.493318452306808,1.3674794331177345,1.503329637837291,1.676305461424021,4.870318264754368,1.8601075237738276,3.0724582991474434,2.541653005427767,1.6792855623746663,1.5362291495737217,1.4422205101855958,2.083266665599966,3.1128764832546763,0
382234,9.732933781753578,4.727578661429125,2.2671568097509267,1.493318452306808,1.5684387141358125,1.9157244060668015,3.0886890422961,10.339729203417273,4.786439177509728,2.04939015319192,1.57797338380595,1.42828568570857,1.47648230602334,1.6,3.0166206257996717,11.503477735015617,0
27074,1.5,2.8896366553599777,1.6093476939431082,1.2609520212918492,1.2922847983320085,1.378404875209022,2.7730849247724096,2.8442925306655784,1.6613247725836149,3.407345007480164,1.8248287590894656,1.6552945357246849,1.445683229480096,1.5427248620541512,1.8055470085267789,1.5620499351813308,0
